-1.936723399369949805e-01,-3.710024637498377520e-01,-4.717431335717320318e-01,-1.961007085945105088e-01,-3.376331294737735263e-19,0.000000000000000000e+00
-1.814843530997596877e-01,-3.685481611579107253e-01,-4.747887347684211501e-01,-1.983567956295469725e-01,-2.578145685905064532e-19,0.000000000000000000e+00
-1.688118726949772441e-01,-3.657279726284370924e-01,-4.778147030106242865e-01,-2.006610160939719112e-01,-3.832234725228637917e-19,0.000000000000000000e+00
-1.560724376807186842e-01,-3.631007204722330739e-01,-4.806205787557658593e-01,-2.028065474935600021e-01,-2.940228646173867220e-19,0.000000000000000000e+00
-1.432813900794890904e-01,-3.606819655997502982e-01,-4.832013651790619257e-01,-2.047863996638572548e-01,-1.471744897131012163e-19,0.000000000000000000e+00
-1.304429508609288302e-01,-3.584723161010342496e-01,-4.855572494350861024e-01,-2.065991040308732540e-01,-3.412619461690824964e-19,0.000000000000000000e+00
-1.175611196378462536e-01,-3.564719597402414841e-01,-4.876885226737266432e-01,-2.082434379880575837e-01,-2.705608026243361715e-19,0.000000000000000000e+00
-1.046399718973679005e-01,-3.546810616982687958e-01,-4.895954465497068253e-01,-2.097182856890025815e-01,-3.706037946909773646e-19,0.000000000000000000e+00
-9.168366027767434201e-02,-3.530997738801487928e-01,-4.912782512541722935e-01,-2.110226378674547598e-01,-3.971297542537580457e-19,0.000000000000000000e+00
-7.869640723544206462e-02,-3.517282337365696399e-01,-4.927371368520964690e-01,-2.121555951089280634e-01,-2.310153122443002041e-19,0.000000000000000000e+00
-6.568249714271209849e-02,-3.505665629821741458e-01,-4.939722745250163527e-01,-2.131163708807115309e-01,-1.877564470582469853e-19,0.000000000000000000e+00
-5.264626807142561843e-02,-3.496148664902930525e-01,-4.949838076357397365e-01,-2.139042942021417426e-01,-5.336765649354603558e-20,0.000000000000000000e+00
-3.959210330982840947e-02,-3.488732313667048945e-01,-4.957718526187838148e-01,-2.145188119358353851e-01,-2.501354740299648595e-19,0.000000000000000000e+00
-2.652442265138129154e-02,-3.483417261980487623e-01,-4.963364997017147284e-01,-2.149594906854743470e-01,-5.475561209497783993e-19,0.000000000000000000e+00
-1.344767349876582058e-02,-3.480204004710282795e-01,-4.966778134616964269e-01,-2.152260182882156647e-01,-6.218980088428051243e-19,0.000000000000000000e+00
-3.663218273111243026e-04,-3.479092841593232621e-01,-4.967958332206162675e-01,-2.153182048923136249e-01,-5.815241621221147081e-19,0.000000000000000000e+00
1.271515694650255865e-02,-3.480083874759548057e-01,-4.966905732812236796e-01,-2.152359836131363113e-01,-9.280682645485778292e-19,0.000000000000000000e+00
2.579228714490284027e-02,-3.483177007897092503e-01,-4.963620230057703697e-01,-2.149794107634191154e-01,-1.037606080249986470e-18,0.000000000000000000e+00
3.886060201002487779e-02,-3.488371947051254196e-01,-4.958101467376851423e-01,-2.145486656562841377e-01,-9.661047739808844487e-19,0.000000000000000000e+00
5.191565283941704939e-02,-3.495668203064309920e-01,-4.950348835658763824e-01,-2.139440499822685693e-01,-1.118362028356411452e-18,0.000000000000000000e+00
6.495301802925361467e-02,-3.505065095667126429e-01,-4.940361469302984032e-01,-2.131659867642954620e-01,-1.232451212054348615e-18,0.000000000000000000e+00
7.796831197953583981e-02,-3.516561759244710705e-01,-4.928138240664706737e-01,-2.122150188971802520e-01,-1.351889769561485847e-18,0.000000000000000000e+00
9.095719381686846738e-02,-3.530157150305425762e-01,-4.913677752857019132e-01,-2.110918072808718182e-01,-1.464098253168410388e-18,0.000000000000000000e+00
1.039153758921174814e-01,-3.545850056691648433e-01,-4.896978330868248519e-01,-2.097971285591415103e-01,-1.518108375210892978e-18,0.000000000000000000e+00
1.168386320123550176e-01,-3.563639108576874270e-01,-4.878038010943250291e-01,-2.083318724778570608e-01,-1.388551691458798559e-18,0.000000000000000000e+00
1.297228053689492289e-01,-3.583522791301022026e-01,-4.856854528168172425e-01,-2.066970388792707947e-01,-1.307719165223532884e-18,0.000000000000000000e+00
